0.050;0.498;0
0.104;0.729;0
0.157;0.897;0
0.203;1.002;0
0.256;1.122;0
0.302;1.204;0
0.347;1.274;0
0.391;1.338;0
0.436;1.399;0
0.481;1.454;0
0.525;1.507;0
0.571;1.558;0
0.616;1.606;0
0.660;1.648;0
0.704;1.689;0
0.748;1.728;0
0.792;1.764;0
0.836;1.798;0
0.880;1.832;0
0.924;1.864;0
0.969;1.895;0
1.013;1.922;0
1.058;1.951;0
1.102;1.977;0
1.147;2.002;0
1.191;2.025;0
1.236;2.048;0
1.280;2.069;0
1.325;2.088;0
1.369;2.108;0
1.414;2.125;0
1.458;2.142;0
1.502;2.157;0
1.547;2.172;0
1.591;2.184;0
1.635;2.197;0
1.680;2.208;0
1.724;2.219;0
1.768;2.228;0
1.813;2.237;0
1.858;2.245;0
1.902;2.252;0
1.947;2.259;0
1.993;2.265;0
2.038;2.270;0
2.082;2.273;0
2.128;2.277;0
2.174;2.279;0
2.218;2.279;0
2.322;2.411;0
2.424;2.526;0
2.490;2.548;0
2.542;2.550;0
2.596;2.553;0
2.647;2.551;0
2.695;2.546;0
2.744;2.541;0
2.794;2.536;0
2.847;2.532;0
2.899;2.525;0
2.951;2.519;0
3.004;2.512;0
3.051;2.499;0
3.094;2.483;0
3.139;2.468;0
3.184;2.450;0
3.229;2.433;0
3.275;2.414;0
3.320;2.395;0
3.364;2.373;0
3.409;2.352;0
3.454;2.328;0
3.499;2.304;0
3.543;2.279;0
3.588;2.252;0
3.632;2.224;0
3.676;2.195;0
3.720;2.165;0
3.782;2.145;0
3.840;2.120;0
3.898;2.094;0
3.956;2.064;0
4.020;2.039;0
4.092;2.024;0
4.160;1.999;0
4.230;1.974;0
4.292;1.937;0
4.350;1.894;0
4.409;1.848;0
4.467;1.799;0
4.530;1.750;0
4.588;1.694;0
4.648;1.635;0
4.692;1.566;0
4.736;1.493;0
4.779;1.415;0
4.823;1.331;0
4.866;1.240;0
4.906;1.141;0
4.947;1.032;0
